iter	Passed	Remaining
467	706	803
468	707	801
469	709	799
470	710	798
471	711	796
472	712	793
473	713	791
474	714	789
475	714	787
476	715	784
477	716	782
478	717	780
479	718	778
480	719	776
481	720	773
482	721	771
483	722	769
484	724	769
485	725	767
486	726	765
487	727	763
488	728	761
489	729	759
490	730	756
491	731	754
492	731	752
493	732	750
494	733	748
495	734	746
496	735	743
497	736	742
498	738	741
499	740	740
500	740	737
501	741	735
502	742	733
503	743	731
504	744	729
505	745	727
506	745	725
507	746	723
508	747	721
509	748	719
510	749	717
511	752	716
512	754	716
513	755	714
514	756	712
515	757	710
516	758	708
517	759	706
518	759	704
519	760	702
520	761	699
521	762	697
522	762	695
523	763	693
524	764	691
525	765	689
526	767	688
527	768	687
528	769	685
529	770	683
530	770	680
531	771	678
532	772	676
533	773	674
534	774	672
535	774	670
536	775	668
537	776	666
538	777	664
539	778	662
540	778	660
541	780	659
542	781	657
543	782	655
544	783	653
545	784	651
546	784	649
547	785	647
548	786	645
549	786	643
550	787	641
551	788	639
552	789	637
553	789	635
554	790	634
555	791	632
556	792	630
557	793	628
558	794	626
559	795	624
560	796	623
561	797	621
562	798	619
563	799	617
564	799	615
565	800	613
566	801	611
567	801	609
568	802	607
569	803	605
570	804	604
571	804	602
572	805	600
573	806	598
574	807	596
575	808	595
576	809	593
577	810	591
578	812	590
579	813	588
580	814	587
581	815	585
582	816	583
583	817	582
584	818	580
585	819	578
586	819	576
587	820	575
588	821	573
589	822	571
590	822	569
591	823	567
592	825	566
593	826	565
594	827	563
595	828	561
596	829	559
597	830	558
598	830	556
599	831	554
600	832	552
601	833	550
602	834	549
603	834	547
604	835	545
605	836	544
606	837	542
607	838	540
608	840	539
609	842	538
610	843	536
611	843	535
612	844	533
613	845	531
614	846	529
615	847	528
616	848	526
617	849	524
618	849	523
619	850	521
620	851	519
621	852	518
622	854	517
623	856	516
624	857	514
625	858	512
626	859	511
627	860	509
628	861	508
629	862	506
630	863	504
631	864	503
632	864	501
633	865	499
634	866	498
635	867	496
636	868	494
637	869	493
638	871	492
639	872	490
640	873	489
641	874	487
642	874	485
643	876	484
644	877	483
645	878	481
646	879	479
647	880	478
648	881	476
649	882	475
650	883	473
651	885	472
652	886	471
653	887	469
654	888	468
655	889	466
656	890	464
657	891	463
658	892	461
659	893	460
660	894	458
661	895	457
662	896	455
663	897	454
664	898	452
665	900	451
666	901	450
667	902	448
668	903	447
669	904	445
670	905	443
671	906	442
672	906	440
673	907	439
674	908	437
675	909	435
676	910	434
677	911	432
678	912	431
679	915	430
680	916	429
681	917	427
682	918	426
683	919	424
684	920	423
685	921	421
686	922	420
687	923	418
688	924	417
689	924	415
690	925	414
691	927	412
692	928	411
693	946	417
694	947	415
695	948	414
696	949	412
697	950	411
698	950	409
699	951	407
700	952	406
701	953	404
702	954	403
703	955	401
704	955	399
705	956	398
706	957	396
707	959	395
708	962	394
709	963	393
710	964	392
711	965	390
712	966	389
713	967	387
714	968	385
715	969	384
716	970	383
717	971	381
718	975	381
719	977	380
720	980	379
721	981	377
722	982	376
723	983	374
724	985	373
725	986	372
726	990	371
727	992	370
728	993	369
729	994	368
730	995	366
731	996	364
732	997	363
733	998	361
734	999	360
735	1000	358
736	1003	358
737	1005	357
738	1006	355
739	1007	354
740	1009	352
741	1011	351
742	1012	350
743	1013	348
744	1015	347
745	1017	346
746	1019	345
747	1021	343
748	1022	342
749	1023	341
750	1024	339
751	1025	338
752	1026	336
753	1027	335
754	1028	333
755	1029	332
756	1030	330
757	1031	329
758	1033	328
759	1036	327
760	1037	325
761	1038	324
762	1039	322
763	1039	321
764	1040	319
765	1041	318
766	1042	316
767	1043	315
768	1043	313
769	1044	312
770	1045	310
771	1046	309
772	1047	307
773	1049	306
774	1050	304
775	1050	303
776	1051	301
777	1052	300
778	1053	298
779	1054	297
780	1055	295
781	1056	294
